ElectoralDistrictName,NDP,BQ,Conservative,Liberal,Green,PPC
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,25.6,0,28,36.9,2,7.5
Hamilton Mountain,32.4,0,24.4,34.1,2,6.4
Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,19.8,0,28.9,44.3,2.6,4.1
Hastings--Lennox and Addington,11,0,45.1,34.9,1.8,5.7
Humber River--Black Creek,16.4,0,17.4,60.7,1.2,3.9
Huron--Bruce,14.8,0,50.9,26.2,0,7.3
Kanata--Carleton,14,0,38.6,41.8,2.7,2.9
Kenora,29.9,0,42.6,19.9,1.4,6.2
King--Vaughan,6.5,0,45.1,42.9,1.2,4.3
Kingston and the Islands/Kingston et les Îles,29.3,0,23.7,41.1,2.5,3.4
Kitchener Centre/Kitchener-Centre,17.5,0,24.5,16.2,34.9,6.6
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,16.3,0,35.5,37.5,3.4,6.7
Kitchener--Conestoga,11.7,0,38.2,39.3,3.6,7.2
Lambton--Kent--Middlesex,18.3,0,48.5,20.7,1.7,10.8
Lanark--Frontenac--Kingston,15.6,0,48.9,26.4,2.6,6.1
Leeds-Grenville-Thousand Islands and Rideau Lakes/Leeds-Grenville-Thousand Islands et Rideau Lakes,15,0,50.5,25.2,3.6,5.7
London North Centre/London-Centre-Nord,26.6,0,27.1,39.1,2.2,5
London West/London-Ouest,24.6,0,32.5,36.9,0,5
London--Fanshawe,43.4,0,24.3,23.1,0,9.2
Markham--Stouffville,8.5,0,35.5,51,1.8,3.2
Markham--Thornhill,8.4,0,26.3,61.5,2.1,1.7
Markham--Unionville,6.6,0,41.9,48.6,2.9,0
Milton,8.9,0,33.1,51.5,2.3,4.3
Mississauga Centre/Mississauga-Centre,11.2,0,28.2,54.2,1.8,4.5
Mississauga East--Cooksville/Mississauga-Est--Cooksville,10.3,0,32.3,50,0,6.4
Mississauga--Erin Mills,10.2,0,33.7,51,1.6,3.4
Mississauga--Lakeshore,9.8,0,38.7,44.9,2.2,4.2
Mississauga--Malton,14,0,30.6,52.8,2,0
Mississauga--Streetsville,12.3,0,34.2,47.3,2.1,3.7
Nepean,16.4,0,33.7,45.1,2,2.8
Newmarket--Aurora,11.5,0,38.3,43.8,1.8,4.2
